case_id,metodo,dice,jaccard,sensibilidad,vox_pred,vox_gt
BraTS-GLI-02827-100,otsu,0.0265,0.0134,0.2357,957209,57050
BraTS-GLI-02827-100,gmm,0.0248,0.0126,0.2419,1055114,57050
BraTS-GLI-02827-100,crecimiento,0.0,0.0,0.0,0,57050
BraTS-GLI-02827-100,watershed,0.0234,0.0118,0.2673,1247966,57050
BraTS-GLI-02119-101,otsu,0.8958,0.8113,0.8165,160563,195115
BraTS-GLI-02119-101,gmm,0.9243,0.8593,0.8803,176545,195115
BraTS-GLI-02119-101,crecimiento,0.8958,0.8113,0.8165,160563,195115
BraTS-GLI-02119-101,watershed,0.9053,0.8269,0.8745,181863,195115
BraTS-GLI-02923-101,otsu,0.0137,0.0069,0.5424,783117,10036
BraTS-GLI-02923-101,gmm,0.0133,0.0067,0.5499,820574,10036
BraTS-GLI-02923-101,crecimiento,0.0,0.0,0.0,0,10036
BraTS-GLI-02923-101,watershed,0.01,0.005,0.6205,1238479,10036
BraTS-GLI-02514-102,otsu,0.5083,0.3408,0.358,63856,156341
BraTS-GLI-02514-102,gmm,0.0565,0.0291,0.1621,741129,156341
BraTS-GLI-02514-102,crecimiento,0.0,0.0,0.0,0,156341
BraTS-GLI-02514-102,watershed,0.1414,0.0761,0.4548,849620,156341
BraTS-GLI-02859-100,otsu,0.182,0.1001,0.9626,620053,64735
BraTS-GLI-02859-100,gmm,0.0233,0.0118,0.1641,846009,64735
BraTS-GLI-02859-100,crecimiento,0.0,0.0,0.0,0,64735
BraTS-GLI-02859-100,watershed,0.1146,0.0608,0.9748,1036706,64735
