case_id,method,source,component_label,volume_vox,surface_area_proxy,compactness_v_over_s15,isoperimetric_quotient,inscribed_radius_vox,inscribed_radius_grid_step,bbox_diag_vox,radius_over_bbox_diag,radius_over_equiv_sphere,elongation_max_over_min,eroded_subcomponents,overlap_gt_vox,z0,z1,y0,y1,x0,x1,log10_isoperimetric,log1p_eroded_subcomponents,shape_score_prob_true_et,accepted_shape,fold,vol_bin,shape_threshold
BraTS-GLI-02934-101,otsu_T1c,prediction_component,1,11031,2066176.0,3.7141882833923545e-06,1.560199752874956e-09,4.47213595499958,2,173.36089524457353,0.02579668239882122,0.3238467721731712,1.5324675324675325,17,,44,145,23,100,38,156,-8.806819795223946,2.8903717578961645,0.07801458569122395,False,3,absent,0.5309848428280338
BraTS-GLI-02934-101,gmm_T1c,prediction_component,1,10852,2035200.0,3.7376544173833433e-06,1.5799766246841702e-09,4.47213595499958,2,173.36089524457353,0.02579668239882122,0.3256176511908942,1.5324675324675325,17,,44,145,23,100,38,156,-8.801349338264421,2.8903717578961645,0.07988502269188573,False,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,1,102,37888.0,1.383081112847937e-05,2.1634540464771644e-08,1.7320508075688772,1,19.1049731745428,0.09065968278232492,0.5975718165557262,1.2,0,,22,33,78,88,98,110,-7.664852325135165,0.0,0.9930382654448108,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,2,368,94720.0,1.2623659874293534e-05,1.8022828191626206e-08,2.0,1,31.400636936215164,0.0636929755298482,0.4498940600420729,3.111111111111111,1,,23,51,75,84,89,100,-7.744177057328077,0.6931471805599453,0.9689925818062768,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,3,77395,16375552.0,1.1679358298625806e-06,1.5427314647717428e-10,5.656854249492381,4,256.9863809621047,0.022012272511540375,0.2139768996881961,1.2932330827067668,153,,24,157,20,192,24,161,-9.811709662736106,5.0369526024136295,0.0005475384263544993,False,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,5,565,158208.0,8.978541352417749e-06,9.117251770619066e-09,1.7320508075688772,1,40.124805295477756,0.04316658473017156,0.3377334018622576,2.1333333333333333,0,,24,43,80,95,54,86,-8.040136052101698,0.0,0.8749223881143706,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,6,67,22528.0,1.9814852622050752e-05,4.4405224132586416e-08,1.4142135623730951,1,12.884098726725126,0.10976425998969035,0.5612886582720128,1.5,0,,26,32,67,74,85,94,-7.352565933522981,0.0,0.9982139440768508,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,7,24,11520.0,1.9410312304685675e-05,4.261057744126781e-08,1.4142135623730951,1,9.0,0.15713484026367724,0.7903281549671363,1.75,0,,27,31,77,84,114,118,-7.3704825803769465,0.0,0.9995875178813726,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,8,12,6144.0,2.4917498197257264e-05,7.022006780482366e-08,1.4142135623730951,1,6.4031242374328485,0.2208630521496931,0.9957510787676723,1.3333333333333333,0,,29,33,52,55,99,103,-7.153538755513696,0.0,0.9999674469175863,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,9,19,8448.0,2.446936747720066e-05,6.771702339772293e-08,1.4142135623730951,1,8.12403840463596,0.17407765595569785,0.8543319874271107,1.25,0,,29,34,68,72,49,54,-7.169302140202132,0.0,0.9998798402306706,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,11,39,19200.0,1.4659284178642842e-05,2.4304008108063126e-08,1.4142135623730951,1,14.352700094407323,0.09853292781642932,0.6722379073420917,2.0,0,,33,43,42,51,96,101,-7.614322098596229,0.0,0.9959952643021905,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,12,14,6144.0,2.9070414563466808e-05,9.557731451212109e-08,1.4142135623730951,1,6.928203230275509,0.20412414523193154,0.9458781407605124,1.0,0,,34,38,47,51,59,63,-7.019645176252469,0.0,0.9999690143044426,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,13,50,20736.0,1.6744898834019205e-05,3.17115470450298e-08,1.4142135623730951,1,14.071247279470288,0.10050378152592122,0.6188060239571066,1.4285714285714286,0,,34,44,65,72,43,50,-7.498782570438039,0.0,0.9970065778095293,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,14,57,22016.0,1.7448866939373608e-05,3.443394925697693e-08,1.4142135623730951,1,14.142135623730951,0.1,0.5923607155209719,1.6666666666666667,0,,35,45,52,58,48,56,-7.463013164859848,0.0,0.9971241723377444,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,15,24,11520.0,1.9410312304685675e-05,4.261057744126781e-08,1.4142135623730951,1,9.38083151964686,0.15075567228888181,0.7903281549671363,1.5,0,,38,44,46,50,55,61,-7.3704825803769465,0.0,0.9995397451848397,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,16,62,18176.0,2.530138053202675e-05,7.240037411984334e-08,1.7320508075688772,1,11.180339887498949,0.15491933384829665,0.7054392189315698,1.6,0,,38,43,89,95,105,113,-7.140259189634846,0.0,0.9997605797134734,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,18,150,47616.0,1.4436499320871e-05,2.3570899870707145e-08,1.4142135623730951,1,20.049937655763422,0.07053456158585983,0.4290561333467488,1.625,0,,39,47,115,128,54,67,-7.627623837016514,0.0,0.9855540891738234,True,3,absent,0.5309848428280338
BraTS-GLI-02934-101,sustraccion,prediction_component,21,31,13824.0,1.9072652941110498e-05,4.1140975558869407e-08,1.4142135623730951,1,11.0,0.128564869306645,0.7257003006213092,1.1666666666666667,0,,41,47,105,112,83,89,-7.3857254142744875,0.0,0.9991271385303777,True,3,absent,0.5309848428280338
