case_id,method,source,component_label,volume_vox,surface_area_proxy,compactness_v_over_s15,isoperimetric_quotient,inscribed_radius_vox,inscribed_radius_grid_step,bbox_diag_vox,radius_over_bbox_diag,radius_over_equiv_sphere,elongation_max_over_min,eroded_subcomponents,overlap_gt_vox,z0,z1,y0,y1,x0,x1,log10_isoperimetric,log1p_eroded_subcomponents,shape_score_prob_true_et,accepted_shape,fold,vol_bin,shape_threshold
BraTS-GLI-00009-101,otsu_T1c,prediction_component,1,14599,2579968.0,3.522910658645499e-06,1.403639665966122e-09,4.47213595499958,2,128.14054783713078,0.0349002406379888,0.2949647814977589,1.6071428571428572,30,,55,145,114,186,82,138,-8.852744367396788,3.4339872044851463,0.0502900220439628,False,4,large,0.5518172876195343
BraTS-GLI-00009-101,gmm_T1c,prediction_component,1,21499,3306240.0,3.576157980602092e-06,1.446391181875614e-09,4.898979485566356,2,140.06784070585223,0.0349757621798025,0.2840070172419742,1.4776119402985075,32,,46,145,113,186,81,148,-8.839714234597166,3.49650756146648,0.0493823644879942,False,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,2,244,59904.0,1.664202201776902e-05,3.1323087089038224e-08,2.23606797749979,1,23.49468024894146,0.0951733734533601,0.57683454764255,1.6,1,,39,55,102,116,102,112,-7.504135442027097,0.6931471805599453,0.9957484084979392,True,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,3,47,21760.0,1.4642307441229375e-05,2.4247748355729087e-08,1.4142135623730951,1,15.556349186104043,0.0909090909090909,0.6317015099045129,1.7142857142857142,0,,40,47,96,108,63,70,-7.615328583745571,0.0,0.9959444415705028,True,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,4,12,6144.0,2.4917498197257264e-05,7.022006780482366e-08,1.4142135623730951,1,6.4031242374328485,0.2208630521496931,0.9957510787676724,1.3333333333333333,0,,43,47,100,103,113,117,-7.153538755513696,0.0,0.999980987329517,True,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,5,244,59136.0,1.6967267566518663e-05,3.2559384807401146e-08,2.23606797749979,1,24.35159132377184,0.0918243061724248,0.57683454764255,1.8,1,,44,57,98,116,69,79,-7.487323809473102,0.6931471805599453,0.9957382103294988,True,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,6,93,35584.0,1.3854817203700626e-05,2.1709707586450762e-08,1.4142135623730951,1,21.40093455903269,0.0660818600455089,0.5031724852354296,1.875,0,,45,53,127,140,109,124,-7.663346026128543,0.0,0.988215117515314,True,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,7,75,27392.0,1.6543433456489296e-05,3.0953065822672985e-08,1.4142135623730951,1,15.937377450509228,0.0887356509416113,0.5405768539900705,2.1666666666666665,0,,48,61,123,129,60,67,-7.509296328746356,0.0,0.996113653198898,True,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,8,16,6656.0,2.9464563572443515e-05,9.818664009850629e-08,1.4142135623730951,1,6.4031242374328485,0.2208630521496931,0.9046998952817776,1.3333333333333333,0,,50,54,115,119,104,107,-7.007947601074732,0.0,0.9999848741368332,True,4,large,0.5518172876195343
BraTS-GLI-00009-101,sustraccion,prediction_component,9,178,64512.0,1.0863236716237944e-05,1.3346606607925906e-08,1.7320508075688772,1,28.03569153775237,0.0617802063215215,0.4963448229063114,1.4615384615384617,0,,51,70,84,97,104,120,-7.874629140200972,0.0,0.9721801626480084,True,4,large,0.5518172876195343
